date,stablecoin,ticker,issuer,blockchain_network,supply_usd,market_cap_usd,circulating_supply,source_id,source_name,source_url_or_reference,data_provider,publication_date,extraction_date,vintage_date,update_frequency,license_or_usage_note,raw_file_name,raw_file_hash_sha256,transformation_script,methodology_version,observed_vs_estimated_flag,official_vs_manual_flag,mock_data_flag,credibility_tier,jurisdiction,data_quality_score,data_quality_grade,confidence_score
2026-06-01,ETHENA USDE,USDE,Ethena,BSC,252614199.41887143,252614199.41887143,252614199.41887143,defillama,DeFiLlama Stablecoin Supply,https://defillama.com/stablecoins,DeFiLlama,,2026-06-01,,daily,"Circulating supply, chain breakdown, market cap proxies.",data/raw/stablecoin_supply/defillama_supply.csv,523c1c889c0759cdb482c51e203ba95bea9adfaf5c836a739876d37041f26ab9,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,official,False,3,,73,Strong preliminary,0.73
2026-06-01,ETHENA USDE,USDE,Ethena,Ethereum,2819216488.36451,2819216488.36451,2819216488.36451,defillama,DeFiLlama Stablecoin Supply,https://defillama.com/stablecoins,DeFiLlama,,2026-06-01,,daily,"Circulating supply, chain breakdown, market cap proxies.",data/raw/stablecoin_supply/defillama_supply.csv,523c1c889c0759cdb482c51e203ba95bea9adfaf5c836a739876d37041f26ab9,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,official,False,3,,73,Strong preliminary,0.73
2026-06-01,ETHENA USDE,USDE,Ethena,AVALANCHE,193780.97347026624,193780.97347026624,193780.97347026624,defillama,DeFiLlama Stablecoin Supply,https://defillama.com/stablecoins,DeFiLlama,,2026-06-01,,daily,"Circulating supply, chain breakdown, market cap proxies.",data/raw/stablecoin_supply/defillama_supply.csv,523c1c889c0759cdb482c51e203ba95bea9adfaf5c836a739876d37041f26ab9,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,official,False,3,,73,Strong preliminary,0.73
2026-06-01,ETHENA USDE,USDE,Ethena,Arbitrum,1846457.2489745116,1846457.2489745116,1846457.2489745116,defillama,DeFiLlama Stablecoin Supply,https://defillama.com/stablecoins,DeFiLlama,,2026-06-01,,daily,"Circulating supply, chain breakdown, market cap proxies.",data/raw/stablecoin_supply/defillama_supply.csv,523c1c889c0759cdb482c51e203ba95bea9adfaf5c836a739876d37041f26ab9,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,official,False,3,,73,Strong preliminary,0.73
2026-06-01,ETHENA USDE,USDE,Ethena,Base,1358004.1342385593,1358004.1342385593,1358004.1342385593,defillama,DeFiLlama Stablecoin Supply,https://defillama.com/stablecoins,DeFiLlama,,2026-06-01,,daily,"Circulating supply, chain breakdown, market cap proxies.",data/raw/stablecoin_supply/defillama_supply.csv,523c1c889c0759cdb482c51e203ba95bea9adfaf5c836a739876d37041f26ab9,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,official,False,3,,73,Strong preliminary,0.73
2026-06-01,ETHENA USDE,USDE,Ethena,Solana,525207003.4107443,525207003.4107443,525207003.4107443,defillama,DeFiLlama Stablecoin Supply,https://defillama.com/stablecoins,DeFiLlama,,2026-06-01,,daily,"Circulating supply, chain breakdown, market cap proxies.",data/raw/stablecoin_supply/defillama_supply.csv,523c1c889c0759cdb482c51e203ba95bea9adfaf5c836a739876d37041f26ab9,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,official,False,3,,73,Strong preliminary,0.73
2026-06-01,PYUSD,PYUSD,PayPal,Ethereum,2019151919.0259624,2019151919.0259624,2019151919.0259624,defillama,DeFiLlama Stablecoin Supply,https://defillama.com/stablecoins,DeFiLlama,,2026-06-01,,daily,"Circulating supply, chain breakdown, market cap proxies.",data/raw/stablecoin_supply/defillama_supply.csv,523c1c889c0759cdb482c51e203ba95bea9adfaf5c836a739876d37041f26ab9,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,official,False,3,,73,Strong preliminary,0.73
2026-06-01,PYUSD,PYUSD,PayPal,AVALANCHE,52.126521137722776,52.126521137722776,52.126521137722776,defillama,DeFiLlama Stablecoin Supply,https://defillama.com/stablecoins,DeFiLlama,,2026-06-01,,daily,"Circulating supply, chain breakdown, market cap proxies.",data/raw/stablecoin_supply/defillama_supply.csv,523c1c889c0759cdb482c51e203ba95bea9adfaf5c836a739876d37041f26ab9,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,official,False,3,,73,Strong preliminary,0.73
2026-06-01,PYUSD,PYUSD,PayPal,Polygon,10086510.187825644,10086510.187825644,10086510.187825644,defillama,DeFiLlama Stablecoin Supply,https://defillama.com/stablecoins,DeFiLlama,,2026-06-01,,daily,"Circulating supply, chain breakdown, market cap proxies.",data/raw/stablecoin_supply/defillama_supply.csv,523c1c889c0759cdb482c51e203ba95bea9adfaf5c836a739876d37041f26ab9,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,official,False,3,,73,Strong preliminary,0.73
2026-06-01,PYUSD,PYUSD,PayPal,Solana,683135332.5817044,683135332.5817044,683135332.5817044,defillama,DeFiLlama Stablecoin Supply,https://defillama.com/stablecoins,DeFiLlama,,2026-06-01,,daily,"Circulating supply, chain breakdown, market cap proxies.",data/raw/stablecoin_supply/defillama_supply.csv,523c1c889c0759cdb482c51e203ba95bea9adfaf5c836a739876d37041f26ab9,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,official,False,3,,73,Strong preliminary,0.73
2026-06-01,PYUSD,PYUSD,PayPal,Arbitrum,315920374.5815518,315920374.5815518,315920374.5815518,defillama,DeFiLlama Stablecoin Supply,https://defillama.com/stablecoins,DeFiLlama,,2026-06-01,,daily,"Circulating supply, chain breakdown, market cap proxies.",data/raw/stablecoin_supply/defillama_supply.csv,523c1c889c0759cdb482c51e203ba95bea9adfaf5c836a739876d37041f26ab9,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,official,False,3,,73,Strong preliminary,0.73
2026-06-01,PYUSD,PYUSD,PayPal,Tron,23.012673684157463,23.012673684157463,23.012673684157463,defillama,DeFiLlama Stablecoin Supply,https://defillama.com/stablecoins,DeFiLlama,,2026-06-01,,daily,"Circulating supply, chain breakdown, market cap proxies.",data/raw/stablecoin_supply/defillama_supply.csv,523c1c889c0759cdb482c51e203ba95bea9adfaf5c836a739876d37041f26ab9,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,official,False,3,,73,Strong preliminary,0.73
2026-06-01,FIRST DIGITAL USD,FDUSD,First Digital,BSC,57689712.52722538,57689712.52722538,57689712.52722538,defillama,DeFiLlama Stablecoin Supply,https://defillama.com/stablecoins,DeFiLlama,,2026-06-01,,daily,"Circulating supply, chain breakdown, market cap proxies.",data/raw/stablecoin_supply/defillama_supply.csv,523c1c889c0759cdb482c51e203ba95bea9adfaf5c836a739876d37041f26ab9,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,official,False,3,,73,Strong preliminary,0.73
2026-06-01,FIRST DIGITAL USD,FDUSD,First Digital,Ethereum,244179081.29654905,244179081.29654905,244179081.29654905,defillama,DeFiLlama Stablecoin Supply,https://defillama.com/stablecoins,DeFiLlama,,2026-06-01,,daily,"Circulating supply, chain breakdown, market cap proxies.",data/raw/stablecoin_supply/defillama_supply.csv,523c1c889c0759cdb482c51e203ba95bea9adfaf5c836a739876d37041f26ab9,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,official,False,3,,73,Strong preliminary,0.73
2026-06-01,FIRST DIGITAL USD,FDUSD,First Digital,Solana,8509346.807029467,8509346.807029467,8509346.807029467,defillama,DeFiLlama Stablecoin Supply,https://defillama.com/stablecoins,DeFiLlama,,2026-06-01,,daily,"Circulating supply, chain breakdown, market cap proxies.",data/raw/stablecoin_supply/defillama_supply.csv,523c1c889c0759cdb482c51e203ba95bea9adfaf5c836a739876d37041f26ab9,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,official,False,3,,73,Strong preliminary,0.73
2026-06-01,FIRST DIGITAL USD,FDUSD,First Digital,Arbitrum,44639.76861049283,44639.76861049283,44639.76861049283,defillama,DeFiLlama Stablecoin Supply,https://defillama.com/stablecoins,DeFiLlama,,2026-06-01,,daily,"Circulating supply, chain breakdown, market cap proxies.",data/raw/stablecoin_supply/defillama_supply.csv,523c1c889c0759cdb482c51e203ba95bea9adfaf5c836a739876d37041f26ab9,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,official,False,3,,73,Strong preliminary,0.73
2026-06-01,XBANKING USDE,USDE,Ethena,Solana,49147.574013545,49147.574013545,49147.574013545,defillama,DeFiLlama Stablecoin Supply,https://defillama.com/stablecoins,DeFiLlama,,2026-06-01,,daily,"Circulating supply, chain breakdown, market cap proxies.",data/raw/stablecoin_supply/defillama_supply.csv,523c1c889c0759cdb482c51e203ba95bea9adfaf5c836a739876d37041f26ab9,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,observed,official,False,3,,73,Strong preliminary,0.73
