date,year,quarter,country,currency,inflation_yoy,policy_rate,gdp_growth,current_account_gdp,reserves_months_imports,external_debt_gdp,remittances_gdp,imports_gdp,trade_openness,unemployment,source
2016-04-01,2016,2016Q2,Colombia,COP,0.0751346024627674,0.13,0.0208738250162794,-0.0445195067751588,5.0,0.43236446421860303,0.0183643004865322,0.214855137060045,0.364855137060045,0.08922000000000001,world_bank_api
2016-07-01,2016,2016Q3,Colombia,COP,0.0751346024627674,0.13,0.0208738250162794,-0.0445195067751588,5.0,0.43236446421860303,0.0183643004865322,0.214855137060045,0.364855137060045,0.08922000000000001,world_bank_api
2016-10-01,2016,2016Q4,Colombia,COP,0.0751346024627674,0.13,0.0208738250162794,-0.0445195067751588,5.0,0.43236446421860303,0.0183643004865322,0.214855137060045,0.364855137060045,0.08922000000000001,world_bank_api
2017-01-01,2017,2017Q1,Colombia,COP,0.043143132569500996,0.13,0.0135936086788746,-0.0318224191114871,5.0,0.411813299968956,0.0186578764806417,0.201376251940583,0.351376251940583,0.09086,world_bank_api
2017-04-01,2017,2017Q2,Colombia,COP,0.043143132569500996,0.13,0.0135936086788746,-0.0318224191114871,5.0,0.411813299968956,0.0186578764806417,0.201376251940583,0.351376251940583,0.09086,world_bank_api
2017-07-01,2017,2017Q3,Colombia,COP,0.043143132569500996,0.13,0.0135936086788746,-0.0318224191114871,5.0,0.411813299968956,0.0186578764806417,0.201376251940583,0.351376251940583,0.09086,world_bank_api
2017-10-01,2017,2017Q4,Colombia,COP,0.043143132569500996,0.13,0.0135936086788746,-0.0318224191114871,5.0,0.411813299968956,0.0186578764806417,0.201376251940583,0.351376251940583,0.09086,world_bank_api
2018-01-01,2018,2018Q1,Colombia,COP,0.0324056932930569,0.13,0.0256432428277704,-0.0420138344687969,5.0,0.40935302359277004,0.019973413778281598,0.206350331193542,0.356350331193542,0.09359999999999999,world_bank_api
2018-04-01,2018,2018Q2,Colombia,COP,0.0324056932930569,0.13,0.0256432428277704,-0.0420138344687969,5.0,0.40935302359277004,0.019973413778281598,0.206350331193542,0.356350331193542,0.09359999999999999,world_bank_api
2018-07-01,2018,2018Q3,Colombia,COP,0.0324056932930569,0.13,0.0256432428277704,-0.0420138344687969,5.0,0.40935302359277004,0.019973413778281598,0.206350331193542,0.356350331193542,0.09359999999999999,world_bank_api
2018-10-01,2018,2018Q4,Colombia,COP,0.0324056932930569,0.13,0.0256432428277704,-0.0420138344687969,5.0,0.40935302359277004,0.019973413778281598,0.206350331193542,0.356350331193542,0.09359999999999999,world_bank_api
2019-01-01,2019,2019Q1,Colombia,COP,0.0352301932741446,0.13,0.0318685539245533,-0.045842751726605895,5.0,0.440144816213322,0.0220297175864251,0.21690495326714898,0.366904953267149,0.10279999999999999,world_bank_api
2019-04-01,2019,2019Q2,Colombia,COP,0.0352301932741446,0.13,0.0318685539245533,-0.045842751726605895,5.0,0.440144816213322,0.0220297175864251,0.21690495326714898,0.366904953267149,0.10279999999999999,world_bank_api
2019-07-01,2019,2019Q3,Colombia,COP,0.0352301932741446,0.13,0.0318685539245533,-0.045842751726605895,5.0,0.440144816213322,0.0220297175864251,0.21690495326714898,0.366904953267149,0.10279999999999999,world_bank_api
2019-10-01,2019,2019Q4,Colombia,COP,0.0352301932741446,0.13,0.0318685539245533,-0.045842751726605895,5.0,0.440144816213322,0.0220297175864251,0.21690495326714898,0.366904953267149,0.10279999999999999,world_bank_api
