corridor_id,policy_name,exposure_type,total_return_proxy,unhedged_volatility,hedged_volatility,volatility_reduction,max_drawdown_unhedged,max_drawdown_hedged,hedge_turnover,total_hedge_cost,average_hedge_ratio,number_of_hedge_changes,cost_adjusted_risk_reduction,regret_proxy,status,ticker,split,oos_design,test_period,test_bars,sample,warmup_start
USDTRY=X,no_change_in_range,receiver_currency_exposure,-3.915,11.066,3.801,7.265,-18.554,-6.643,0.9,0.018,0.678,9,7.247,2.747,ok,USDTRY=X,wf_7,walk_forward,2017-04-22..2018-04-21,258,test,2012-04-22
USDTRY=X,volatility_triggered,receiver_currency_exposure,-5.132,11.066,5.562,5.504,-18.554,-9.385,2.7,0.054,0.465,9,5.45,4.248,ok,USDTRY=X,wf_7,walk_forward,2017-04-22..2018-04-21,258,test,2012-04-22
USDTRY=X,half_hedged,usd_liability_exposure,5.58,11.066,5.533,5.533,-6.068,-3.054,0.0,0.0,0.5,0,5.533,4.162,ok,USDTRY=X,wf_7,walk_forward,2017-04-22..2018-04-21,258,test,2012-04-22
USDTRY=X,mostly_hedged,usd_liability_exposure,2.792,11.066,2.767,8.3,-6.068,-1.534,0.0,0.0,0.75,0,8.3,2.081,ok,USDTRY=X,wf_7,walk_forward,2017-04-22..2018-04-21,258,test,2012-04-22
USDTRY=X,regime_based,usd_liability_exposure,2.369,11.066,4.364,6.702,-6.068,-3.471,3.9,0.078,0.564,18,6.624,3.377,ok,USDTRY=X,wf_7,walk_forward,2017-04-22..2018-04-21,258,test,2012-04-22
USDTRY=X,no_change_in_range,usd_liability_exposure,3.883,11.066,3.799,7.267,-6.068,-2.047,0.9,0.018,0.678,9,7.249,2.746,ok,USDTRY=X,wf_7,walk_forward,2017-04-22..2018-04-21,258,test,2012-04-22
USDTRY=X,volatility_triggered,usd_liability_exposure,4.963,11.066,5.557,5.509,-6.068,-3.66,2.7,0.054,0.465,9,5.455,4.248,ok,USDTRY=X,wf_7,walk_forward,2017-04-22..2018-04-21,258,test,2012-04-22
USDTRY=X,half_hedged,receiver_currency_exposure,-19.975,32.962,16.481,16.481,-45.875,-25.621,0.0,0.0,0.5,0,16.481,9.078,ok,USDTRY=X,wf_8,walk_forward,2018-04-22..2019-04-21,260,test,2013-04-22
USDTRY=X,mostly_hedged,receiver_currency_exposure,-10.211,32.962,8.24,24.721,-45.875,-13.543,0.0,0.0,0.75,0,24.721,4.539,ok,USDTRY=X,wf_8,walk_forward,2018-04-22..2019-04-21,260,test,2013-04-22
USDTRY=X,regime_based,receiver_currency_exposure,-11.668,32.962,10.355,22.606,-45.875,-16.084,2.6,0.052,0.648,14,22.554,5.996,ok,USDTRY=X,wf_8,walk_forward,2018-04-22..2019-04-21,260,test,2013-04-22
USDTRY=X,no_change_in_range,receiver_currency_exposure,-16.501,32.962,12.892,20.07,-45.875,-20.95,0.8,0.016,0.638,8,20.054,6.831,ok,USDTRY=X,wf_8,walk_forward,2018-04-22..2019-04-21,260,test,2013-04-22
USDTRY=X,volatility_triggered,receiver_currency_exposure,-11.132,32.962,11.277,21.685,-45.875,-16.108,2.4,0.048,0.586,8,21.637,6.744,ok,USDTRY=X,wf_8,walk_forward,2018-04-22..2019-04-21,260,test,2013-04-22
USDTRY=X,half_hedged,usd_liability_exposure,21.49,32.962,16.481,16.481,-25.644,-13.455,0.0,0.0,0.5,0,16.481,9.078,ok,USDTRY=X,wf_8,walk_forward,2018-04-22..2019-04-21,260,test,2013-04-22
USDTRY=X,mostly_hedged,usd_liability_exposure,10.592,32.962,8.24,24.721,-25.644,-6.887,0.0,0.0,0.75,0,24.721,4.539,ok,USDTRY=X,wf_8,walk_forward,2018-04-22..2019-04-21,260,test,2013-04-22
USDTRY=X,regime_based,usd_liability_exposure,11.845,32.962,10.354,22.608,-25.644,-9.599,2.6,0.052,0.648,14,22.556,5.994,ok,USDTRY=X,wf_8,walk_forward,2018-04-22..2019-04-21,260,test,2013-04-22
USDTRY=X,no_change_in_range,usd_liability_exposure,17.678,32.962,12.891,20.07,-25.644,-9.976,0.8,0.016,0.638,8,20.054,6.83,ok,USDTRY=X,wf_8,walk_forward,2018-04-22..2019-04-21,260,test,2013-04-22
USDTRY=X,volatility_triggered,usd_liability_exposure,10.953,32.962,11.276,21.685,-25.644,-11.033,2.4,0.048,0.586,8,21.637,6.743,ok,USDTRY=X,wf_8,walk_forward,2018-04-22..2019-04-21,260,test,2013-04-22
USDTRY=X,half_hedged,receiver_currency_exposure,-8.877,11.212,5.606,5.606,-21.577,-11.358,0.0,0.0,0.5,0,5.606,4.066,ok,USDTRY=X,wf_9,walk_forward,2019-04-22..2020-04-21,261,test,2014-04-22
USDTRY=X,mostly_hedged,receiver_currency_exposure,-4.502,11.212,2.803,8.409,-21.577,-5.828,0.0,0.0,0.75,0,8.409,2.033,ok,USDTRY=X,wf_9,walk_forward,2019-04-22..2020-04-21,261,test,2014-04-22
USDTRY=X,regime_based,receiver_currency_exposure,-6.322,11.212,4.535,6.677,-21.577,-8.494,2.8,0.056,0.575,12,6.621,3.318,ok,USDTRY=X,wf_9,walk_forward,2019-04-22..2020-04-21,261,test,2014-04-22
USDTRY=X,no_change_in_range,receiver_currency_exposure,-6.283,11.212,3.618,7.595,-21.577,-7.836,0.4,0.008,0.69,4,7.587,2.574,ok,USDTRY=X,wf_9,walk_forward,2019-04-22..2020-04-21,261,test,2014-04-22
USDTRY=X,volatility_triggered,receiver_currency_exposure,-8.04,11.212,6.203,5.009,-21.577,-11.016,1.2,0.024,0.431,4,4.985,4.476,ok,USDTRY=X,wf_9,walk_forward,2019-04-22..2020-04-21,261,test,2014-04-22
USDTRY=X,half_hedged,usd_liability_exposure,9.383,11.212,5.606,5.606,-10.977,-5.591,0.0,0.0,0.5,0,5.606,4.066,ok,USDTRY=X,wf_9,walk_forward,2019-04-22..2020-04-21,261,test,2014-04-22
USDTRY=X,mostly_hedged,usd_liability_exposure,4.629,11.212,2.803,8.409,-10.977,-2.821,0.0,0.0,0.75,0,8.409,2.033,ok,USDTRY=X,wf_9,walk_forward,2019-04-22..2020-04-21,261,test,2014-04-22
USDTRY=X,regime_based,usd_liability_exposure,6.401,11.212,4.537,6.675,-10.977,-4.635,2.8,0.056,0.575,12,6.619,3.315,ok,USDTRY=X,wf_9,walk_forward,2019-04-22..2020-04-21,261,test,2014-04-22
USDTRY=X,no_change_in_range,usd_liability_exposure,6.542,11.212,3.617,7.596,-10.977,-3.379,0.4,0.008,0.69,4,7.588,2.574,ok,USDTRY=X,wf_9,walk_forward,2019-04-22..2020-04-21,261,test,2014-04-22
