ticker,split,exposure_type,oos_design,test_period,no_change_cost_adj_risk_reduction,regime_based_cost_adj_risk_reduction,no_change_turnover,regime_based_turnover,turnover_reduction_pct,no_change_max_dd_hedged,regime_based_max_dd_hedged,no_change_wins_cost_adj,no_change_wins_turnover,no_change_dd_not_worse
USDCOP=X,wf_9,receiver_currency_exposure,walk_forward,2018-03-23..2019-03-22,9.947,9.617,2.4,4.5,46.67,-7.847,-8.751,True,True,True
USDCOP=X,wf_9,usd_liability_exposure,walk_forward,2018-03-23..2019-03-22,9.949,9.621,2.4,4.5,46.67,-2.281,-3.097,True,True,True
USDCOP=X,wf_10,receiver_currency_exposure,walk_forward,2019-03-23..2020-03-22,11.643,11.952,1.3,6.1,78.69,-11.822,-11.082,False,True,False
USDCOP=X,wf_10,usd_liability_exposure,walk_forward,2019-03-23..2020-03-22,11.643,11.951,1.3,6.1,78.69,-2.991,-4.029,False,True,True
USDCOP=X,wf_11,receiver_currency_exposure,walk_forward,2020-03-23..2021-03-22,9.329,9.083,0.8,3.8,78.95,-2.914,-3.541,True,True,True
USDCOP=X,wf_11,usd_liability_exposure,walk_forward,2020-03-23..2021-03-22,9.332,9.082,0.8,3.8,78.95,-6.109,-7.346,True,True,True
USDCOP=X,wf_12,receiver_currency_exposure,walk_forward,2021-03-23..2022-03-22,7.848,7.456,2.0,5.6,64.29,-4.996,-5.915,True,True,True
USDCOP=X,wf_12,usd_liability_exposure,walk_forward,2021-03-23..2022-03-22,7.847,7.457,2.0,5.6,64.29,-3.231,-2.632,True,True,False
USDCOP=X,wf_13,receiver_currency_exposure,walk_forward,2022-03-23..2023-03-22,11.685,12.645,1.3,3.7,64.86,-11.917,-11.932,False,True,True
USDCOP=X,wf_13,usd_liability_exposure,walk_forward,2022-03-23..2023-03-22,11.686,12.646,1.3,3.7,64.86,-4.302,-4.535,False,True,True
USDCOP=X,wf_14,receiver_currency_exposure,walk_forward,2023-03-23..2024-03-22,10.148,8.208,0.8,4.5,82.22,-3.27,-4.763,True,True,True
USDCOP=X,wf_14,usd_liability_exposure,walk_forward,2023-03-23..2024-03-22,10.148,8.215,0.8,4.5,82.22,-6.504,-9.002,True,True,True
USDCOP=X,wf_15,receiver_currency_exposure,walk_forward,2024-03-23..2025-03-22,8.913,8.337,1.1,4.6,76.09,-5.787,-8.648,True,True,True
USDCOP=X,wf_15,usd_liability_exposure,walk_forward,2024-03-23..2025-03-22,8.914,8.339,1.1,4.6,76.09,-3.35,-4.233,True,True,True
USDCOP=X,wf_16,receiver_currency_exposure,walk_forward,2025-03-23..2026-03-22,9.823,9.996,1.0,3.6,72.22,-3.047,-2.558,False,True,False
USDCOP=X,wf_16,usd_liability_exposure,walk_forward,2025-03-23..2026-03-22,9.822,9.993,1.0,3.6,72.22,-7.279,-7.613,False,True,True
USDCOP=X,wf_17,receiver_currency_exposure,walk_forward,2026-03-23..2026-05-22,8.123,7.168,0.1,1.3,92.31,-1.998,-2.738,True,True,True
