corridor_id,policy_name,exposure_type,total_return_proxy,unhedged_volatility,hedged_volatility,volatility_reduction,max_drawdown_unhedged,max_drawdown_hedged,hedge_turnover,total_hedge_cost,hedge_trade_cost_pct,forward_roll_cost_pct,forward_carry_cost_pct,cost_layer,average_hedge_ratio,number_of_hedge_changes,cost_adjusted_risk_reduction,regret_proxy,status,ticker,split,oos_design,test_period,test_bars,sample,warmup_start
USDPLN=X,regime_based,receiver_currency_exposure,-1.491,10.86,3.817,7.043,-13.44,-4.392,3.2,0.064,0.064,0.0,0.0,base,0.616,17,6.979,2.871,ok,USDPLN=X,wf_7,walk_forward,2016-03-19..2017-03-18,260,test,2011-03-19
USDPLN=X,regime_based,receiver_currency_exposure,-2.433,10.86,3.817,7.043,-13.44,-4.864,3.2,1.0246,0.16,0.2289,0.6357,forward_full,0.616,17,6.018,2.871,ok,USDPLN=X,wf_7,walk_forward,2016-03-19..2017-03-18,260,test,2011-03-19
USDPLN=X,no_change_in_range,receiver_currency_exposure,-2.638,10.86,3.893,6.967,-13.44,-5.077,0.8,0.016,0.016,0.0,0.0,base,0.668,8,6.951,2.69,ok,USDPLN=X,wf_7,walk_forward,2016-03-19..2017-03-18,260,test,2011-03-19
USDPLN=X,no_change_in_range,receiver_currency_exposure,-3.57,10.86,3.894,6.966,-13.44,-5.717,0.8,0.9769,0.04,0.248,0.6889,forward_full,0.668,8,5.989,2.691,ok,USDPLN=X,wf_7,walk_forward,2016-03-19..2017-03-18,260,test,2011-03-19
USDPLN=X,volatility_triggered,receiver_currency_exposure,-1.798,10.86,4.999,5.861,-13.44,-6.029,3.0,0.06,0.06,0.0,0.0,base,0.493,10,5.801,3.748,ok,USDPLN=X,wf_7,walk_forward,2016-03-19..2017-03-18,260,test,2011-03-19
USDPLN=X,volatility_triggered,receiver_currency_exposure,-2.564,10.86,5.001,5.859,-13.44,-6.243,3.0,0.8424,0.15,0.1833,0.5091,forward_full,0.493,10,5.016,3.75,ok,USDPLN=X,wf_7,walk_forward,2016-03-19..2017-03-18,260,test,2011-03-19
USDPLN=X,half_hedged,usd_liability_exposure,3.073,10.86,5.43,5.43,-6.598,-3.34,0.0,0.0,0.0,0.0,0.0,base,0.5,0,5.43,3.935,ok,USDPLN=X,wf_7,walk_forward,2016-03-19..2017-03-18,260,test,2011-03-19
USDPLN=X,half_hedged,usd_liability_exposure,2.352,10.86,5.43,5.43,-6.598,-3.439,0.0,0.7016,0.0,0.1857,0.5159,forward_full,0.5,0,4.728,3.936,ok,USDPLN=X,wf_7,walk_forward,2016-03-19..2017-03-18,260,test,2011-03-19
USDPLN=X,mostly_hedged,usd_liability_exposure,1.563,10.86,2.715,8.145,-6.598,-1.68,0.0,0.0,0.0,0.0,0.0,base,0.75,0,8.145,1.968,ok,USDPLN=X,wf_7,walk_forward,2016-03-19..2017-03-18,260,test,2011-03-19
USDPLN=X,mostly_hedged,usd_liability_exposure,0.5,10.86,2.715,8.145,-6.598,-1.832,0.0,1.0524,0.0,0.2786,0.7738,forward_full,0.75,0,7.093,1.968,ok,USDPLN=X,wf_7,walk_forward,2016-03-19..2017-03-18,260,test,2011-03-19
USDPLN=X,regime_based,usd_liability_exposure,1.232,10.86,3.817,7.043,-6.598,-2.606,3.2,0.064,0.064,0.0,0.0,base,0.616,17,6.979,2.873,ok,USDPLN=X,wf_7,walk_forward,2016-03-19..2017-03-18,260,test,2011-03-19
USDPLN=X,regime_based,usd_liability_exposure,0.264,10.86,3.817,7.043,-6.598,-2.751,3.2,1.0246,0.16,0.2289,0.6357,forward_full,0.616,17,6.018,2.874,ok,USDPLN=X,wf_7,walk_forward,2016-03-19..2017-03-18,260,test,2011-03-19
USDPLN=X,no_change_in_range,usd_liability_exposure,2.517,10.86,3.892,6.968,-6.598,-2.242,0.8,0.016,0.016,0.0,0.0,base,0.668,8,6.952,2.689,ok,USDPLN=X,wf_7,walk_forward,2016-03-19..2017-03-18,260,test,2011-03-19
USDPLN=X,no_change_in_range,usd_liability_exposure,1.537,10.86,3.891,6.968,-6.598,-2.376,0.8,0.9769,0.04,0.248,0.6889,forward_full,0.668,8,5.992,2.689,ok,USDPLN=X,wf_7,walk_forward,2016-03-19..2017-03-18,260,test,2011-03-19
USDPLN=X,volatility_triggered,usd_liability_exposure,1.448,10.86,4.998,5.862,-6.598,-4.12,3.0,0.06,0.06,0.0,0.0,base,0.493,10,5.802,3.746,ok,USDPLN=X,wf_7,walk_forward,2016-03-19..2017-03-18,260,test,2011-03-19
USDPLN=X,volatility_triggered,usd_liability_exposure,0.658,10.86,4.996,5.864,-6.598,-4.313,3.0,0.8424,0.15,0.1833,0.5091,forward_full,0.493,10,5.021,3.745,ok,USDPLN=X,wf_7,walk_forward,2016-03-19..2017-03-18,260,test,2011-03-19
USDPLN=X,half_hedged,receiver_currency_exposure,7.757,9.002,4.501,4.501,-4.144,-2.086,0.0,0.0,0.0,0.0,0.0,base,0.5,0,4.501,3.603,ok,USDPLN=X,wf_8,walk_forward,2017-03-19..2018-03-18,258,test,2012-03-19
USDPLN=X,half_hedged,receiver_currency_exposure,7.009,9.002,4.501,4.501,-4.144,-2.123,0.0,0.6962,0.0,0.1843,0.5119,forward_full,0.5,0,3.805,3.597,ok,USDPLN=X,wf_8,walk_forward,2017-03-19..2018-03-18,258,test,2012-03-19
USDPLN=X,mostly_hedged,receiver_currency_exposure,3.833,9.002,2.251,6.752,-4.144,-1.046,0.0,0.0,0.0,0.0,0.0,base,0.75,0,6.752,1.801,ok,USDPLN=X,wf_8,walk_forward,2017-03-19..2018-03-18,258,test,2012-03-19
USDPLN=X,mostly_hedged,receiver_currency_exposure,2.755,9.002,2.251,6.752,-4.144,-1.102,0.0,1.0443,0.0,0.2764,0.7679,forward_full,0.75,0,5.707,1.794,ok,USDPLN=X,wf_8,walk_forward,2017-03-19..2018-03-18,258,test,2012-03-19
USDPLN=X,regime_based,receiver_currency_exposure,6.38,9.002,3.213,5.789,-4.144,-1.481,4.6,0.092,0.092,0.0,0.0,base,0.627,35,5.697,2.603,ok,USDPLN=X,wf_8,walk_forward,2017-03-19..2018-03-18,258,test,2012-03-19
USDPLN=X,regime_based,receiver_currency_exposure,5.31,9.002,3.212,5.79,-4.144,-1.574,4.6,1.1032,0.23,0.2311,0.6421,forward_full,0.627,35,4.687,2.593,ok,USDPLN=X,wf_8,walk_forward,2017-03-19..2018-03-18,258,test,2012-03-19
USDPLN=X,no_change_in_range,receiver_currency_exposure,4.307,9.002,3.199,5.803,-4.144,-1.482,3.0,0.06,0.06,0.0,0.0,base,0.663,30,5.743,2.482,ok,USDPLN=X,wf_8,walk_forward,2017-03-19..2018-03-18,258,test,2012-03-19
USDPLN=X,no_change_in_range,receiver_currency_exposure,3.256,9.002,3.199,5.803,-4.144,-1.596,3.0,1.0729,0.15,0.2443,0.6786,forward_full,0.663,30,4.73,2.474,ok,USDPLN=X,wf_8,walk_forward,2017-03-19..2018-03-18,258,test,2012-03-19
USDPLN=X,volatility_triggered,receiver_currency_exposure,9.795,9.002,4.232,4.771,-4.144,-1.974,9.0,0.18,0.18,0.0,0.0,base,0.509,30,4.591,3.365,ok,USDPLN=X,wf_8,walk_forward,2017-03-19..2018-03-18,258,test,2012-03-19
USDPLN=X,volatility_triggered,receiver_currency_exposure,8.725,9.002,4.234,4.768,-4.144,-2.086,9.0,1.1591,0.45,0.1877,0.5214,forward_full,0.509,30,3.609,3.358,ok,USDPLN=X,wf_8,walk_forward,2017-03-19..2018-03-18,258,test,2012-03-19
USDPLN=X,half_hedged,usd_liability_exposure,-7.392,9.002,4.501,4.501,-17.049,-8.843,0.0,0.0,0.0,0.0,0.0,base,0.5,0,4.501,3.603,ok,USDPLN=X,wf_8,walk_forward,2017-03-19..2018-03-18,258,test,2012-03-19
USDPLN=X,half_hedged,usd_liability_exposure,-8.035,9.002,4.501,4.501,-17.049,-9.358,0.0,0.6962,0.0,0.1843,0.5119,forward_full,0.5,0,3.805,3.609,ok,USDPLN=X,wf_8,walk_forward,2017-03-19..2018-03-18,258,test,2012-03-19
USDPLN=X,mostly_hedged,usd_liability_exposure,-3.742,9.002,2.251,6.752,-17.049,-4.503,0.0,0.0,0.0,0.0,0.0,base,0.75,0,6.752,1.801,ok,USDPLN=X,wf_8,walk_forward,2017-03-19..2018-03-18,258,test,2012-03-19
USDPLN=X,mostly_hedged,usd_liability_exposure,-4.742,9.002,2.251,6.752,-17.049,-5.325,0.0,1.0443,0.0,0.2764,0.7679,forward_full,0.75,0,5.707,1.811,ok,USDPLN=X,wf_8,walk_forward,2017-03-19..2018-03-18,258,test,2012-03-19
USDPLN=X,regime_based,usd_liability_exposure,-6.27,9.002,3.216,5.786,-17.049,-7.182,4.6,0.092,0.092,0.0,0.0,base,0.627,35,5.694,2.608,ok,USDPLN=X,wf_8,walk_forward,2017-03-19..2018-03-18,258,test,2012-03-19
