ticker,split,exposure_type,oos_design,test_period,cost_layer,no_change_cost_adj_risk_reduction,regime_based_cost_adj_risk_reduction,no_change_turnover,regime_based_turnover,no_change_wins_cost_adj,turnover_reduction_pct,no_change_wins_turnover
USDMXN=X,wf_7,receiver_currency_exposure,walk_forward,2013-09-14..2014-09-13,forward_full,1.943,1.737,0.3,3.3,True,90.91,True
USDMXN=X,wf_7,usd_liability_exposure,walk_forward,2013-09-14..2014-09-13,base,4.716,4.057,0.3,3.3,True,90.91,True
USDMXN=X,wf_7,usd_liability_exposure,walk_forward,2013-09-14..2014-09-13,forward_full,1.942,1.735,0.3,3.3,True,90.91,True
USDMXN=X,wf_8,us_entity_long_mxn,walk_forward,2014-09-14..2015-09-13,base,6.223,6.835,0.6,1.8,False,66.67,True
USDMXN=X,wf_8,us_entity_long_mxn,walk_forward,2014-09-14..2015-09-13,forward_full,3.643,4.099,0.6,1.8,False,66.67,True
USDMXN=X,wf_8,receiver_currency_exposure,walk_forward,2014-09-14..2015-09-13,base,6.223,6.835,0.6,1.8,False,66.67,True
USDMXN=X,wf_8,receiver_currency_exposure,walk_forward,2014-09-14..2015-09-13,forward_full,3.643,4.099,0.6,1.8,False,66.67,True
USDMXN=X,wf_8,usd_liability_exposure,walk_forward,2014-09-14..2015-09-13,base,6.223,6.834,0.6,1.8,False,66.67,True
USDMXN=X,wf_8,usd_liability_exposure,walk_forward,2014-09-14..2015-09-13,forward_full,3.643,4.096,0.6,1.8,False,66.67,True
USDMXN=X,wf_9,us_entity_long_mxn,walk_forward,2015-09-14..2016-09-13,base,8.52,8.68,2.7,5.7,False,52.63,True
USDMXN=X,wf_9,us_entity_long_mxn,walk_forward,2015-09-14..2016-09-13,forward_full,5.771,5.86,2.7,5.7,False,52.63,True
USDMXN=X,wf_9,receiver_currency_exposure,walk_forward,2015-09-14..2016-09-13,base,8.52,8.68,2.7,5.7,False,52.63,True
USDMXN=X,wf_9,receiver_currency_exposure,walk_forward,2015-09-14..2016-09-13,forward_full,5.771,5.86,2.7,5.7,False,52.63,True
USDMXN=X,wf_9,usd_liability_exposure,walk_forward,2015-09-14..2016-09-13,base,8.52,8.681,2.7,5.7,False,52.63,True
USDMXN=X,wf_9,usd_liability_exposure,walk_forward,2015-09-14..2016-09-13,forward_full,5.771,5.858,2.7,5.7,False,52.63,True
USDMXN=X,wf_10,us_entity_long_mxn,walk_forward,2016-09-14..2017-09-13,base,9.411,9.065,0.7,3.1,True,77.42,True
USDMXN=X,wf_10,us_entity_long_mxn,walk_forward,2016-09-14..2017-09-13,forward_full,6.623,6.464,0.7,3.1,True,77.42,True
USDMXN=X,wf_10,receiver_currency_exposure,walk_forward,2016-09-14..2017-09-13,base,9.411,9.065,0.7,3.1,True,77.42,True
