ticker,split,exposure_type,oos_design,test_period,cost_layer,no_change_cost_adj,half_cost_adj,no_change_turnover,half_turnover,no_change_wins_cost_adj,turnover_reduction_pct,static_benchmark,mostly_cost_adj,mostly_turnover
USDMXN=X,wf_9,receiver_currency_exposure,walk_forward,2015-09-14..2016-09-13,forward_full,5.771,4.816,2.7,0.0,True,,half_hedged,,
USDMXN=X,wf_9,usd_liability_exposure,walk_forward,2015-09-14..2016-09-13,base,8.52,6.866,2.7,0.0,True,,half_hedged,,
USDMXN=X,wf_9,usd_liability_exposure,walk_forward,2015-09-14..2016-09-13,forward_full,5.771,4.816,2.7,0.0,True,,half_hedged,,
USDMXN=X,wf_10,us_entity_long_mxn,walk_forward,2016-09-14..2017-09-13,base,9.411,7.336,0.7,0.0,True,,half_hedged,,
USDMXN=X,wf_10,us_entity_long_mxn,walk_forward,2016-09-14..2017-09-13,forward_full,6.623,5.303,0.7,0.0,True,,half_hedged,,
USDMXN=X,wf_10,receiver_currency_exposure,walk_forward,2016-09-14..2017-09-13,base,9.411,7.336,0.7,0.0,True,,half_hedged,,
USDMXN=X,wf_10,receiver_currency_exposure,walk_forward,2016-09-14..2017-09-13,forward_full,6.623,5.303,0.7,0.0,True,,half_hedged,,
USDMXN=X,wf_10,usd_liability_exposure,walk_forward,2016-09-14..2017-09-13,base,9.409,7.336,0.7,0.0,True,,half_hedged,,
USDMXN=X,wf_10,usd_liability_exposure,walk_forward,2016-09-14..2017-09-13,forward_full,6.615,5.303,0.7,0.0,True,,half_hedged,,
USDMXN=X,wf_11,us_entity_long_mxn,walk_forward,2017-09-14..2018-09-13,base,7.312,5.83,0.8,0.0,True,,half_hedged,,
USDMXN=X,wf_11,us_entity_long_mxn,walk_forward,2017-09-14..2018-09-13,forward_full,4.621,3.788,0.8,0.0,True,,half_hedged,,
USDMXN=X,wf_11,receiver_currency_exposure,walk_forward,2017-09-14..2018-09-13,base,7.312,5.83,0.8,0.0,True,,half_hedged,,
USDMXN=X,wf_11,receiver_currency_exposure,walk_forward,2017-09-14..2018-09-13,forward_full,4.621,3.788,0.8,0.0,True,,half_hedged,,
USDMXN=X,wf_11,usd_liability_exposure,walk_forward,2017-09-14..2018-09-13,base,7.313,5.83,0.8,0.0,True,,half_hedged,,
USDMXN=X,wf_11,usd_liability_exposure,walk_forward,2017-09-14..2018-09-13,forward_full,4.623,3.788,0.8,0.0,True,,half_hedged,,
USDMXN=X,wf_12,us_entity_long_mxn,walk_forward,2018-09-14..2019-09-13,base,6.77,5.081,0.6,0.0,True,,half_hedged,,
USDMXN=X,wf_12,us_entity_long_mxn,walk_forward,2018-09-14..2019-09-13,forward_full,4.007,3.071,0.6,0.0,True,,half_hedged,,
USDMXN=X,wf_12,receiver_currency_exposure,walk_forward,2018-09-14..2019-09-13,base,6.77,5.081,0.6,0.0,True,,half_hedged,,
USDMXN=X,wf_12,receiver_currency_exposure,walk_forward,2018-09-14..2019-09-13,forward_full,4.007,3.071,0.6,0.0,True,,half_hedged,,
USDMXN=X,wf_12,usd_liability_exposure,walk_forward,2018-09-14..2019-09-13,base,6.771,5.081,0.6,0.0,True,,half_hedged,,
USDMXN=X,wf_12,usd_liability_exposure,walk_forward,2018-09-14..2019-09-13,forward_full,4.01,3.071,0.6,0.0,True,,half_hedged,,
USDMXN=X,wf_13,us_entity_long_mxn,walk_forward,2019-09-14..2020-09-13,base,11.319,9.324,0.4,0.0,True,,half_hedged,,
USDMXN=X,wf_13,us_entity_long_mxn,walk_forward,2019-09-14..2020-09-13,forward_full,8.64,7.29,0.4,0.0,True,,half_hedged,,
USDMXN=X,wf_13,receiver_currency_exposure,walk_forward,2019-09-14..2020-09-13,base,11.319,9.324,0.4,0.0,True,,half_hedged,,
USDMXN=X,wf_13,receiver_currency_exposure,walk_forward,2019-09-14..2020-09-13,forward_full,8.64,7.29,0.4,0.0,True,,half_hedged,,
USDMXN=X,wf_13,usd_liability_exposure,walk_forward,2019-09-14..2020-09-13,base,11.319,9.324,0.4,0.0,True,,half_hedged,,
USDMXN=X,wf_13,usd_liability_exposure,walk_forward,2019-09-14..2020-09-13,forward_full,8.64,7.29,0.4,0.0,True,,half_hedged,,
USDMXN=X,wf_14,us_entity_long_mxn,walk_forward,2020-09-14..2021-09-13,base,7.524,5.626,0.8,0.0,True,,half_hedged,,
USDMXN=X,wf_14,us_entity_long_mxn,walk_forward,2020-09-14..2021-09-13,forward_full,4.737,3.609,0.8,0.0,True,,half_hedged,,
USDMXN=X,wf_14,receiver_currency_exposure,walk_forward,2020-09-14..2021-09-13,base,7.524,5.626,0.8,0.0,True,,half_hedged,,
USDMXN=X,wf_14,receiver_currency_exposure,walk_forward,2020-09-14..2021-09-13,forward_full,4.737,3.609,0.8,0.0,True,,half_hedged,,
USDMXN=X,wf_14,usd_liability_exposure,walk_forward,2020-09-14..2021-09-13,base,7.526,5.626,0.8,0.0,True,,half_hedged,,
USDMXN=X,wf_14,usd_liability_exposure,walk_forward,2020-09-14..2021-09-13,forward_full,4.743,3.609,0.8,0.0,True,,half_hedged,,
USDMXN=X,wf_15,us_entity_long_mxn,walk_forward,2021-09-14..2022-09-13,base,6.616,5.34,2.0,0.0,True,,half_hedged,,
USDMXN=X,wf_15,us_entity_long_mxn,walk_forward,2021-09-14..2022-09-13,forward_full,3.911,3.306,2.0,0.0,True,,half_hedged,,
USDMXN=X,wf_15,receiver_currency_exposure,walk_forward,2021-09-14..2022-09-13,base,6.616,5.34,2.0,0.0,True,,half_hedged,,
USDMXN=X,wf_15,receiver_currency_exposure,walk_forward,2021-09-14..2022-09-13,forward_full,3.911,3.306,2.0,0.0,True,,half_hedged,,
USDMXN=X,wf_15,usd_liability_exposure,walk_forward,2021-09-14..2022-09-13,base,6.617,5.34,2.0,0.0,True,,half_hedged,,
USDMXN=X,wf_15,usd_liability_exposure,walk_forward,2021-09-14..2022-09-13,forward_full,3.917,3.306,2.0,0.0,True,,half_hedged,,
USDMXN=X,wf_16,us_entity_long_mxn,walk_forward,2022-09-14..2023-09-13,base,6.406,4.996,1.3,0.0,True,,half_hedged,,
USDMXN=X,wf_16,us_entity_long_mxn,walk_forward,2022-09-14..2023-09-13,forward_full,3.662,2.962,1.3,0.0,True,,half_hedged,,
USDMXN=X,wf_16,receiver_currency_exposure,walk_forward,2022-09-14..2023-09-13,base,6.406,4.996,1.3,0.0,True,,half_hedged,,
USDMXN=X,wf_16,receiver_currency_exposure,walk_forward,2022-09-14..2023-09-13,forward_full,3.662,2.962,1.3,0.0,True,,half_hedged,,
USDMXN=X,wf_16,usd_liability_exposure,walk_forward,2022-09-14..2023-09-13,base,6.408,4.996,1.3,0.0,True,,half_hedged,,
USDMXN=X,wf_16,usd_liability_exposure,walk_forward,2022-09-14..2023-09-13,forward_full,3.668,2.962,1.3,0.0,True,,half_hedged,,
USDMXN=X,wf_17,us_entity_long_mxn,walk_forward,2023-09-14..2024-09-13,base,8.286,6.614,1.0,0.0,True,,half_hedged,,
USDMXN=X,wf_17,us_entity_long_mxn,walk_forward,2023-09-14..2024-09-13,forward_full,5.586,4.572,1.0,0.0,True,,half_hedged,,
USDMXN=X,wf_17,receiver_currency_exposure,walk_forward,2023-09-14..2024-09-13,base,8.286,6.614,1.0,0.0,True,,half_hedged,,
USDMXN=X,wf_17,receiver_currency_exposure,walk_forward,2023-09-14..2024-09-13,forward_full,5.586,4.572,1.0,0.0,True,,half_hedged,,
USDMXN=X,wf_17,usd_liability_exposure,walk_forward,2023-09-14..2024-09-13,base,8.286,6.614,1.0,0.0,True,,half_hedged,,
USDMXN=X,wf_17,usd_liability_exposure,walk_forward,2023-09-14..2024-09-13,forward_full,5.588,4.572,1.0,0.0,True,,half_hedged,,
USDMXN=X,wf_18,us_entity_long_mxn,walk_forward,2024-09-14..2025-09-13,base,7.26,5.722,1.3,0.0,True,,half_hedged,,
USDMXN=X,wf_18,us_entity_long_mxn,walk_forward,2024-09-14..2025-09-13,forward_full,4.535,3.697,1.3,0.0,True,,half_hedged,,
USDMXN=X,wf_18,receiver_currency_exposure,walk_forward,2024-09-14..2025-09-13,base,7.26,5.722,1.3,0.0,True,,half_hedged,,
USDMXN=X,wf_18,receiver_currency_exposure,walk_forward,2024-09-14..2025-09-13,forward_full,4.535,3.697,1.3,0.0,True,,half_hedged,,
USDMXN=X,wf_18,usd_liability_exposure,walk_forward,2024-09-14..2025-09-13,base,7.258,5.722,1.3,0.0,True,,half_hedged,,
USDMXN=X,wf_18,usd_liability_exposure,walk_forward,2024-09-14..2025-09-13,forward_full,4.53,3.697,1.3,0.0,True,,half_hedged,,
USDMXN=X,wf_19,us_entity_long_mxn,walk_forward,2025-09-14..2026-05-15,base,5.07,4.001,0.2,0.0,True,,half_hedged,,
USDMXN=X,wf_19,us_entity_long_mxn,walk_forward,2025-09-14..2026-05-15,forward_full,3.251,2.634,0.2,0.0,True,,half_hedged,,
USDMXN=X,wf_19,receiver_currency_exposure,walk_forward,2025-09-14..2026-05-15,base,5.07,4.001,0.2,0.0,True,,half_hedged,,
USDMXN=X,wf_19,receiver_currency_exposure,walk_forward,2025-09-14..2026-05-15,forward_full,3.251,2.634,0.2,0.0,True,,half_hedged,,
USDMXN=X,wf_19,usd_liability_exposure,walk_forward,2025-09-14..2026-05-15,base,5.07,4.001,0.2,0.0,True,,half_hedged,,
USDMXN=X,wf_19,usd_liability_exposure,walk_forward,2025-09-14..2026-05-15,forward_full,3.25,2.634,0.2,0.0,True,,half_hedged,,
USDBRL=X,split_1,receiver_currency_exposure,fixed_split,2019-01-01..2021-12-31,base,11.368,8.917,3.8,0.0,True,,half_hedged,,
USDBRL=X,split_1,receiver_currency_exposure,fixed_split,2019-01-01..2021-12-31,forward_full,-6.94,-4.63,3.8,0.0,False,,half_hedged,,
USDBRL=X,split_1,usd_liability_exposure,fixed_split,2019-01-01..2021-12-31,base,11.368,8.917,3.8,0.0,True,,half_hedged,,
USDBRL=X,split_1,usd_liability_exposure,fixed_split,2019-01-01..2021-12-31,forward_full,-6.941,-4.63,3.8,0.0,False,,half_hedged,,
USDBRL=X,split_2,receiver_currency_exposure,fixed_split,2022-01-01..2024-12-31,base,9.161,7.247,4.1,0.0,True,,half_hedged,,
USDBRL=X,split_2,receiver_currency_exposure,fixed_split,2022-01-01..2024-12-31,forward_full,-8.9,-6.283,4.1,0.0,False,,half_hedged,,
USDBRL=X,split_2,usd_liability_exposure,fixed_split,2022-01-01..2024-12-31,base,9.162,7.247,4.1,0.0,True,,half_hedged,,
